Caso,Modelo,MSE,RMSE,MAE,R2,A,B,C,D,E,Tiempo entrenamiento
C1,M1,0.001225035328811725,0.03500050469367156,0.027018596031791995,0.9999997059001454,21070,0,0,0,0,46.96315240859985
C1,M2,1055.111953245268,32.4824868697775,32.34003430363348,0.746694430137206,9185,11885,0,0,0,112.3344612121582
C1,M3,7.1037928601593165,2.6652941413959015,2.0419958903091335,0.9982945598397447,21070,0,0,0,0,100.62430882453918
C2,M1,0.48673880388409746,0.6976666853764034,0.628446540235057,0.9998831463810898,21070,0,0,0,0,49.23619079589844
C2,M2,82.25669627433237,9.069547743649204,8.962329654304348,0.9802522573450961,21070,0,0,0,0,113.86219310760498
C2,M3,43.70019808835249,6.61061253503429,5.064970194269368,0.9895086928492849,21070,0,0,0,0,94.40641784667969
C3,M1,0.20438903556488303,0.45209405610434983,0.41026072418401355,0.9999509313860314,21070,0,0,0,0,49.3266396522522
C3,M2,23.842660225773322,4.882894656428021,3.771244533558732,0.9942759831153856,21070,0,0,0,0,115.75431084632874
C3,M3,33.48802536652212,5.786883908160084,4.517422153036574,0.9919603760312298,21070,0,0,0,0,97.90272879600525
C4,M1,0.06438341050121688,0.25373886281217717,0.24340907107273266,0.9999845431791038,21070,0,0,0,0,49.40348267555237
C4,M2,94.32483628919287,9.712097419671657,9.033792384020458,0.9773550035757251,21044,26,0,0,0,115.64522790908813
C4,M3,10.773228875432999,3.2822597208985456,2.4304882131032506,0.9974136214918613,21070,0,0,0,0,99.83577489852905
C5,M1,0.868343767839451,0.9318496487306581,0.8803462967693851,0.9997915327257237,21070,0,0,0,0,48.49707102775574
C5,M2,577.4982875076548,24.031194050809354,23.94260906976266,0.8613573352458177,14523,6547,0,0,0,114.16514420509338
C5,M3,16.826920366983856,4.102062940397655,3.6881301378377773,0.9959602839874151,21070,0,0,0,0,101.35038661956787
C6,M1,0.015436404488315004,0.12424332774163369,0.10559811585312688,0.9999962941115172,21070,0,0,0,0,48.89155721664429
C6,M2,82.65752031498931,9.091618135128053,8.019739868225619,0.9801560296777656,21019,51,0,0,0,115.36892104148865
C6,M3,10.472089760728934,3.2360608400845825,2.759881932711682,0.9974859173414377,21070,0,0,0,0,100.93125772476196
C7,M1,0.28896383459708225,0.5375535643980814,0.4836766516817216,0.9999306271258067,21070,0,0,0,0,48.151411294937134
C7,M2,6.0984137277476504,2.46949665473506,1.8843557416628949,0.998535925823023,21070,0,0,0,0,116.06997752189636
C7,M3,23.29485999854962,4.826474903959371,4.386941380946627,0.9944074960304853,21070,0,0,0,0,102.03004670143127
C8,M1,0.08177771762964589,0.2859680360278853,0.24457633874401485,0.9999803672479469,21070,0,0,0,0,93.16058588027954
C8,M2,86.45700414075178,9.298225859848307,8.387368095300182,0.9792438701550638,21070,0,0,0,0,116.33133482933044
C8,M3,21.43614132872398,4.629918069331679,3.9207423329183584,0.9948537271535681,21070,0,0,0,0,126.21307158470154
